id,"city","zupanija","skupina"
260,"Mihovljan","Krapinsko-zagorska","II."
261,"Polača","Zadarska","II."
262,"Ston","Dubrovačko-neretvanska","II."
263,"Lipik","Požeško-slavonska","II."
264,"Tovarnik","Vukovarsko-srijemska","II."
265,"Ozalj","Karlovačka","III."
266,"Donji Vidovec","Međimurska","III."
267,"Jesenje","Krapinsko-zagorska","III."
268,"Sveti Martin na Muri","Međimurska","III."
269,"Lećevica","Splitsko-dalmatinska","III."
270,"Petrijanec","Varaždinska","III."
271,"Županja","Vukovarsko-srijemska","III."
272,"Donji Miholjac","Osječko-baranjska","III."
273,"Krašić","Zagrebačka","III."
274,"Brckovljani","Zagrebačka","III."
275,"Klenovnik","Varaždinska","III."
276,"Vratišinec","Međimurska","III."
277,"Hrašćina","Krapinsko-zagorska","III."
278,"Pregrada","Krapinsko-zagorska","III."
279,"Đelekovec","Koprivničko-križevačka","III."
280,"Lepoglava","Varaždinska","III."
281,"Kraljevec na Sutli","Krapinsko-zagorska","III."
282,"Mače","Krapinsko-zagorska","III."
283,"Čepin","Osječko-baranjska","III."
284,"Podravske Sesvete","Koprivničko-križevačka","III."
285,"Jalžabet","Varaždinska","III."
286,"Smokvica","Dubrovačko-neretvanska","III."
287,"Đurmanec","Krapinsko-zagorska","III."
288,"Ražanac","Zadarska","III."
289,"Pojezerje","Dubrovačko-neretvanska","III."
290,"Breznički Hum","Varaždinska","III."
291,"Plitvička Jezera","Ličko-senjska","III."
292,"Bibinje","Zadarska","III."
293,"Zemunik Donji","Zadarska","III."
294,"Bedenica","Zagrebačka","III."
295,"Sveti Juraj na Bregu","Međimurska","III."
296,"Kumrovec","Krapinsko-zagorska","III."
297,"Novigrad Podravski","Koprivničko-križevačka","III."
298,"Donja Dubrava","Međimurska","III."
299,"Vidovec","Varaždinska","III."
300,"Vrgorac","Splitsko-dalmatinska","III."
301,"Valpovo","Osječko-baranjska","III."
302,"Maruševec","Varaždinska","III."
303,"Dicmo","Splitsko-dalmatinska","III."
304,"Metković","Dubrovačko-neretvanska","III."
305,"Našice","Osječko-baranjska","III."
306,"Dekanovec","Međimurska","III."
307,"Lekenik","Sisačko-moslavačka","III."
308,"Goričan","Međimurska","III."
309,"Vinica","Varaždinska","III."
310,"Draganić","Karlovačka","III."
311,"Primorski Dolac","Splitsko-dalmatinska","III."
312,"Đurđevac","Koprivničko-križevačka","III."
313,"Jasenice","Zadarska","III."
314,"Rugvica","Zagrebačka","III."
315,"Popovača","Sisačko-moslavačka","III."
316,"Sinj","Splitsko-dalmatinska","III."
317,"Sveta Marija","Međimurska","III."
318,"Lipovljani","Sisačko-moslavačka","III."
319,"Donji Kraljevec","Međimurska","III."
320,"Veliki Bukovec","Varaždinska","III."
321,"Galovac","Zadarska","III."
322,"Bedekovčina","Krapinsko-zagorska","III."
323,"Radoboj","Krapinsko-zagorska","III."
324,"Opuzen","Dubrovačko-neretvanska","III."
325,"Pakoštane","Zadarska","III."
326,"Slavonski Brod","Brodsko-posavska","III."
327,"Koprivnički Ivanec","Koprivničko-križevačka","III."
328,"Nedelišće","Međimurska","III."
329,"Sveti Križ Začretje","Krapinsko-zagorska","III."
330,"Kloštar Ivanić","Zagrebačka","III."
331,"Marina","Splitsko-dalmatinska","III."
332,"Seget","Splitsko-dalmatinska","III."
333,"Beretinec","Varaždinska","III."
334,"Ljubešćica","Varaždinska","III."
335,"Tuhelj","Krapinsko-zagorska","III."
336,"Vrbovsko","Primorsko-goranska","III."
337,"Sveti Ilija","Varaždinska","III."
338,"Novi Golubovec","Krapinsko-zagorska","III."
339,"Zlatar","Krapinsko-zagorska","III."
340,"Sračinec","Varaždinska","III."
341,"Sukošan","Zadarska","III."
342,"Križ","Zagrebačka","III."
343,"Luka","Zagrebačka","III."
344,"Križevci","Koprivničko-križevačka","III."
345,"Vrbovec","Zagrebačka","III."
346,"Kravarsko","Zagrebačka","III."
347,"Klanjec","Krapinsko-zagorska","III."
348,"Orahovica","Virovitičko-podravska","III."
349,"Požega","Požeško-slavonska","III."
350,"Novi Marof","Varaždinska","III."
351,"Veliko Trgovišće","Krapinsko-zagorska","III."
352,"Cerovlje","Istarska","III."
353,"Komiža","Splitsko-dalmatinska","III."
354,"Prelog","Međimurska","III."
355,"Perušić","Ličko-senjska","III."
356,"Daruvar","Bjelovarsko-bilogorska","III."
357,"Virovitica","Virovitičko-podravska","III."
358,"Dubravica","Zagrebačka","III."
359,"Klis","Splitsko-dalmatinska","III."
360,"Vela Luka","Dubrovačko-neretvanska","III."
361,"Sveti Filip i Jakov","Zadarska","III."
362,"Duga Resa","Karlovačka","III."
363,"Donja Stubica","Krapinsko-zagorska","III."
364,"Strahoninec","Međimurska","III."
365,"Omiš","Splitsko-dalmatinska","III."
366,"Jakovlje","Zagrebačka","III."
367,"Motovun","Istarska","III."
368,"Gospić","Ličko-senjska","III."
369,"Selca","Splitsko-dalmatinska","III."
370,"Varaždinske Toplice","Varaždinska","III."
371,"Marija Bistrica","Krapinsko-zagorska","III."
372,"Karojba","Istarska","III."
373,"Vinkovci","Vukovarsko-srijemska","III."
374,"Dugi Rat","Splitsko-dalmatinska","III."
375,"Senj","Ličko-senjska","III."
376,"Bjelovar","Bjelovarsko-bilogorska","III."
377,"Ogulin","Karlovačka","III."
378,"Lumbarda","Dubrovačko-neretvanska","III."
379,"Orebić","Dubrovačko-neretvanska","III."
380,"Gradac","Splitsko-dalmatinska","III."
381,"Kaštela","Splitsko-dalmatinska","III."
382,"Pirovac","Šibensko-kninska","III."
383,"Janjina","Dubrovačko-neretvanska","III."
384,"Ivanec","Varaždinska","III."
385,"Bilice","Šibensko-kninska","III."
386,"Čabar","Primorsko-goranska","III."
387,"Pučišća","Splitsko-dalmatinska","III."
388,"Brod Moravice","Primorsko-goranska","III."
389,"Kutina","Sisačko-moslavačka","III."
390,"Konjščina","Krapinsko-zagorska","III."
391,"Privlaka (Zadar)","Zadarska","III."
392,"Lovinac","Ličko-senjska","III."
393,"Sveti Ivan Zelina","Zagrebačka","III."
394,"Dubrovačko primorje","Dubrovačko-neretvanska","III."
395,"Velika Ludina","Sisačko-moslavačka","III."
396,"Trnovec Bartolovečki","Varaždinska","III."
397,"Oroslavje","Krapinsko-zagorska","III."
398,"Hum na Sutli","Krapinsko-zagorska","III."
399,"Oprtalj","Istarska","III."
400,"Sućuraj","Splitsko-dalmatinska","III."
401,"Ludbreg","Varaždinska","III."
402,"Trpanj","Dubrovačko-neretvanska","III."
403,"Blato","Dubrovačko-neretvanska","III."
404,"Gornji Kneginec","Varaždinska","III."
405,"Gračišće","Istarska","III."
406,"Pašman","Zadarska","III."
407,"Ploče","Dubrovačko-neretvanska","III."
408,"Pisarovina","Zagrebačka","III."
409,"Klinča Sela","Zagrebačka","III."
410,"Zlatar-Bistrica","Krapinsko-zagorska","III."
411,"Nerežišća","Splitsko-dalmatinska","III."
412,"Lanišće","Istarska","III."
413,"Krapina","Krapinsko-zagorska","III."
414,"Grožnjan","Istarska","III."
